id,DAY,TEMPERATURE_MAX,TEMPERATURE_MIN,TEMPERATURE_AVG,WINDSPEED,VAPOR_PRESSURE,PRECIPITATION,ET0,RADIATION
380,20060115,2,-6.4,-2.2,2.2,4.43,0,.53,4632
381,20060116,5.5,-2.9,1.3,2.9,5.78,3.7,.58,4367
382,20060117,5.3,2.5,3.9,6,8.18,13.2,.29,2498
383,20060118,7.5,4.3,5.9,2.7,8.98,1.1,.41,2528
384,20060119,9,2.1,5.5,1.7,8.68,.1,.41,3543
385,20060120,6.5,3.1,4.8,3.1,8.28,.7,.43,3030
386,20060121,6.7,.7,3.7,2.1,7.33,.1,.42,4263
387,20060122,5.1,.4,2.8,3.2,6.38,0,.62,4024
388,20060123,1.8,-1.8,0,4.3,4.43,0,.72,7952
389,20060124,1.7,-7.4,-2.8,2.4,3.73,0,.5,7481
390,20060125,3.5,-7.1,-1.8,1.8,4.38,.5,.44,6528
